platform,title,url,budget_min,budget_max,budget_currency,budget_type,skills,category,posted_date,full_description,description_snippet
Freelancer.com,"Long-Term Video Editor for Motorcycle, Travel & Lifestyle Content",https://www.freelancer.com/projects/after-effects/long-term-video-editor-for-40455203,150.0,300.0,EUR,fixed,AFTER EFFECTS | After Effects | Video Editing | Video Production | Video Services | Videography,,,"I’m looking for a long-term video editor to create engaging content for TikTok, Instagram, and YouTube. The focus is on motorcycles, travel, lifestyle, and cinematic moments. Deliverables include 3–5 short-form videos per week (TikTok/Instagram Reels) and occasional long-form YouTube videos. Videos should feature modern editing, strong hooks, captions, smooth transitions, cinematic shots, music, and professional storytelling. The ideal freelancer understands current social media trends and can create viral-style content that stands out.","I’m looking for a long-term video editor to create engaging content for TikTok, Instagram, and YouTube. The focus is on motorcycles, travel, lifestyle, and cinematic moments. Deliverables include 3–5 short-form videos per week (TikTok/Instagram Reels"
Freelancer.com,Male and Female Voice-Over Artists for Audiobook Narration,https://www.freelancer.com/projects/audio-production/male-female-voice-over-artists,700.0,1400.0,GBP,fixed,AUDIO PRODUCTION | Audio Production | Audio Services | English (US) Translator | Music | Voice Talent,,,"I am seeking professional male and female voice-over artists to narrate a 14-page audiobook. Separate recordings are required for each voice. The narration must be completed within 48 hours. Ideal candidates should have experience in audiobook narration, access to high-quality recording equipment, and the ability to deliver clear and engaging audio.",I am seeking professional male and female voice-over artists to narrate a 14-page audiobook. Separate recordings are required for each voice. The narration must be completed within 48 hours. Ideal candidates should have experience in audiobook narrat
Freelancer.com,May26- Extract email based on profile KW from Business B2B network site/s -Urgent,https://www.freelancer.com/projects/data-entry/may-extract-email-based-profile,30.0,250.0,USD,fixed,DATA ENTRY | Data Entry | Excel | Web Scraping | Web Search | Data Mining,,,"Extract from Business Network(see attached file) based on profile of professional 
as any emails and link to their profile in a spread sheet 
any of the words attached HAS TO BE APPEAR in their profile description , otherwise we wont accept the record
Give us a quote for 500 emails , 1000 emails and 5000 emails , 10K , etc

We prefer accurate and fast extraction tools for these sites 

Each entry in a spreadsheet with the fields:

Name, Email address, link to profile, Keyword found in profile (has to be any of the list attached)

We need it in 3-5 days 

you can start with 500 email /records 

your delivery is an excel spread sheet based on what we asked in this project description box and what was attached for this project

We pay $50 for 500 Emails - Must be good emails and related 

We need it ASAP

You can do manual or auto and show us the screenshot of profile if we aske to verify OK and related

see full specs and info in text file attached 

Thanks","Extract from Business Network(see attached file) based on profile of professional as any emails and link to their profile in a spread sheet any of the words attached HAS TO BE APPEAR in their profile description , otherwise we wont accept the record "
Freelancer.com,Azure VDI Performance Optimization,https://www.freelancer.com/projects/network-security/azure-vdi-performance-optimization,2.0,8.0,USD,hourly,NETWORK SECURITY | Network Security | Virtualization | Network Engineering | Cloud Computing | Microsoft Azure,,,"Our Azure Virtual Desktop deployment become sluggish time to time. I want the environment to feel as responsive as a local desktop.

Your task is to trace the bottlenecks—whether they stem from host sizing, storage throughput, profile management, graphics acceleration, or network path—and apply targeted fixes. 
I can walk you through current setup using shared screen app.

The work can be carried out remotely with shared screen using tools from freelancer or Anydesk.","Our Azure Virtual Desktop deployment become sluggish time to time. I want the environment to feel as responsive as a local desktop. Your task is to trace the bottlenecks—whether they stem from host sizing, storage throughput, profile management, grap"
Freelancer.com,AISC Standards Shop Drawing Conversion,https://www.freelancer.com/projects/3d-design/aisc-standards-shop-drawing-conversion,750.0,1500.0,USD,fixed,3D DESIGN | 3D Design | 3D Drafting | 3D Modelling | AutoCAD | CAD/CAM | Graphic Design | Structural Engineering,,,"I need a drawing of a miscellaneous steel structure converted to AISC standards and a detailed shop drawing created. 

Requirements:
- Conversion to AISC standards
- Detailed shop drawing including:
 - Joint connections
 - Welding details

You will have access to a complete set of existing drawings to assist in the conversion. 

Ideal Skills and Experience:
- Proficiency in AISC standards
- Experience with shop drawings for steel structures
- Attention to detail and accuracy
- Strong background in structural engineering or related fields

Please include a portfolio showcasing similar work.",I need a drawing of a miscellaneous steel structure converted to AISC standards and a detailed shop drawing created. Requirements: - Conversion to AISC standards - Detailed shop drawing including: - Joint connections - Welding details You will have a
Freelancer.com,TikTok Golf Promo Specialist,https://www.freelancer.com/projects/video-editing/tiktok-golf-promo-specialist,30.0,250.0,USD,fixed,VIDEO EDITING | Video Editing | Social Media Marketing | Content Creation | Video Production | Social Media Management | Digital Marketing | Content Strategy | Creative Writing | Instagram Marketing | Facebook Marketing,,,"I'm seeking a creative social media promoter to showcase my golf swing analyzer website on TikTok. The goal is to create engaging and entertaining video content that captures attention and drives interest.

Requirements:
- Focus on TikTok, Instagram, Facebook.
- Video content
- Style: Entertaining and Fun Clips, how to fix golf swing with my website

Ideal Skills & Experience:
- Proven track record in growing TikTok accounts
- Expertise in creating engaging, entertaining video content
- Passion for golf or sports is a plus","I'm seeking a creative social media promoter to showcase my golf swing analyzer website on TikTok. The goal is to create engaging and entertaining video content that captures attention and drives interest. Requirements: - Focus on TikTok, Instagram, "
Freelancer.com,Convert 3 DWGs to STP,https://www.freelancer.com/projects/3d-cad/convert-dwgs-stp,15.0,25.0,USD,hourly,3D CAD | 3D CAD | 3D Design | 3D Rendering | 3D Print Design | CAD/CAM | Solidworks | AutoCAD | 3D Modelling,,,"I have three straightforward mechanical part drawings in DWG format that Protolabs cannot accept. I need each one converted to a clean, watertight STP model that will upload without errors. 

While you’re converting, please add any missing overall and critical feature dimensions as well as the material specifications shown on the title block; these details must carry through so the quote Protolabs generates reflects the correct machining requirements. The parts follow normal industry‐standard tolerances, so note the general tolerance block (ISO 2768–mK) in the STEP metadata or on an attached annotation view.

Deliverables 
• One STP file per part, ready for direct upload to Protolabs 
• A quick visual PDF or screenshot of each model showing the added dimensions and material call-outs for confirmation 

I’ll supply the original DWGs immediately and can answer questions on geometry or materials the moment they arise. A fast turnaround is appreciated.","I have three straightforward mechanical part drawings in DWG format that Protolabs cannot accept. I need each one converted to a clean, watertight STP model that will upload without errors. While you’re converting, please add any missing overall and "
Freelancer.com,تعديل مخطط معماري لأرض غير منتظمة,https://www.freelancer.com/projects/autocad/project-40453929,10.0,30.0,USD,fixed,AUTOCAD | AutoCAD | 2D Drafting | Building Design | Architecture | Floor Plan,,,"لدي أرض غير منتظمة الأضلاع (مرفق صورة الكروكي بأبعاد وأطوال الأرض)، ولدي مخطط مبدئي للدور الأرضي (مرفق صورة المخطط). المخطط الحالي جيد ولكنه يحتاج إلى إعادة دراسة وتعديل جذري من قبل مهندس معماري محترف لحل بعض الإشكاليات وتلبية احتياجاتي الجديدة.
الاحتياجات والمكونات المطلوبة في المخطط (نفس المخطط المرفق + إضافة):
1 مجلس رجال + دورة مياه ومغاسل تابعة له.
2 غرفة طعام.
3 صالة عائلية واسعة.
4 مطبخ.
5 غرفة نوم إضافية (هذا هو المطلب الأساسي الجديد).
6 دورة مياه تخدم الصالة وغرفة النوم.
7 منطقة الدرج.
ملاحظات واشتراطات هامة جداً للمصمم (يرجى قراءتها بعناية قبل تقديم العرض):
 لا أريد أي ""شطرات"" (زوايا مائلة) داخل المبنى نهائياً
 الا اذا كان ذالك ضروري ولا مفر منه كيفية : يمكن للمصمم استيعاب الشطرات في الارتدادات الخارجية (الحوش)، أو استغلالها في تصميم مساحات غير رئيسية مثل: (مستودع صغير، غرفة غسيل، مناور، أو دواليب حائطية مخفية) بحيث يبقى الشكل الداخلي للغرف منتظماً.
 مرونة في التصميم: أنا مستعد لتقبل التضحية بمساحات بعض الغرف وتصغيرها بشكل معقول، ولدي مرونة تامة في إعادة ترتيب أماكن الغرف بالكامل (تغيير أماكن المجلس، الصالة، المطبخ.. الخ) إذا كان ذلك سيخدم فكرة إضافة الغرفة الجديدة ويضمن لي التخلص من الشطرات بشكل متناغم وذكي.
 يجب اخذ التهوية بعين الاعتبار المطلوب تسليمه:
 مسقط أفقي (Floor Plan) ثنائي الأبعاد (2D) يوضح التوزيع المعماري الجديد.
 تسليم الملفات بصيغة PDF وأيضاً الملف المصدري AutoCAD (DWG).
المرفقات:
1 صورة كروكي الأرض (بالمقاسات والزوايا).
2 صورة المخطط المبدئي الحالي.",لدي أرض غير منتظمة الأضلاع (مرفق صورة الكروكي بأبعاد وأطوال الأرض)، ولدي مخطط مبدئي للدور الأرضي (مرفق صورة المخطط). المخطط الحالي جيد ولكنه يحتاج إلى إعادة دراسة وتعديل جذري من قبل مهندس معماري محترف لحل بعض الإشكاليات وتلبية احتياجاتي الجديدة. الاح
Freelancer.com,Package Design on Die Lines,https://www.freelancer.com/projects/adobe-illustrator/package-design-die-lines,250.0,750.0,USD,fixed,ADOBE ILLUSTRATOR | Adobe Illustrator | Adobe Photoshop | Brochure Design | Graphic Design | Illustrator | Packaging Design | Photoshop | Product Design,,,"I need an experienced designer to take my packaging design and apply it to die lines. The design is for both boxes and bottles.

Requirements:
- Experience with packaging design, particularly for boxes and bottles.
- Ability to work quickly and deliver high-quality, accurate designs.
- Familiarity with die lines and packaging production processes.

Ideal Skills and Experience:
- Proficiency in design software (e.g., Adobe Illustrator, Photoshop).
- Strong attention to detail and accuracy.
- Previous portfolio work in similar projects.

This project is needed ASAP, so speed and efficiency are key.","I need an experienced designer to take my packaging design and apply it to die lines. The design is for both boxes and bottles. Requirements: - Experience with packaging design, particularly for boxes and bottles. - Ability to work quickly and delive"
Freelancer.com,Zapier-Jotform Integrations Setup,https://www.freelancer.com/projects/zapier/zapier-jotform-integrations-setup,10.0,200.0,USD,fixed,ZAPIER | Zapier | API Integration | Data Integration | PHP | JavaScript | API | Documentation | Automation | Order Processing | Process Automation,,,"My main goal is to integrate each form with other apps through Zapier so information moves instantly without manual exports or copy-pasting. 

First priority is wiring the forms to multiple industry-specific platforms(i.e. Real Estate Transaction Coordination) —so every new submission triggers the right actions (record creation, field updates, tag changes, order processing, etc.). I’ll share API keys and sample form links; you’ll return a set of well-documented Zaps that: 
• capture all incoming Jotform data 
• map it cleanly to the fields I specify in each destination platform, and 
• include error handling and basic formatting where needed (dates, phone numbers, currency). 

Deliverables I expect: 
1. 5 working Zaps per platform, each fully tested in my Zapier account. 
2. A concise hand-off sheet summarising every trigger, action, filter, and code step used. 
3. Quick Loom or similar walkthrough (max 5 min) so my team can extend or duplicate the flows later. 

I’ll provide prompt feedback during testing and am happy to hop on a short call if field mapping gets tricky. Let’s get our data flowing effortlessly.",My main goal is to integrate each form with other apps through Zapier so information moves instantly without manual exports or copy-pasting. First priority is wiring the forms to multiple industry-specific platforms(i.e. Real Estate Transaction Coord
